time,open,high,low,close,volume
2025-05-23 05:00:00,1087.8,1087.97,1079.8,1087.61,6035
2025-05-23 09:00:00,1087.1,1095.5,1081.98,1093.27,4753
2025-05-23 13:00:00,1093.02,1095.17,1073.08,1083.94,8560
2025-05-23 17:00:00,1083.89,1096.42,1083.02,1093.59,7822
2025-05-23 21:00:00,1093.59,1095.75,1082.5,1092.61,3529
2025-05-26 01:00:00,1091.88,1100.96,1091.88,1096.91,6941
2025-05-26 05:00:00,1096.91,1097.32,1090.3,1094.86,7614
2025-05-26 09:00:00,1093.95,1096.14,1082.95,1086.55,5572
2025-05-26 13:00:00,1086.56,1092.24,1086.56,1087.77,6433
2025-05-26 17:00:00,1087.77,1088.02,1087.6,1087.88,45
2025-05-27 01:00:00,1089.43,1089.44,1077.39,1081.88,6006
2025-05-27 05:00:00,1081.89,1084.63,1076.12,1081.47,6528
2025-05-27 09:00:00,1080.6,1084.25,1074.61,1081.81,6021
2025-05-27 13:00:00,1081.42,1085.94,1070.52,1084.44,7984
2025-05-27 17:00:00,1084.42,1087.57,1078.59,1083.05,7321
2025-05-27 21:00:00,1083.05,1084.97,1082.66,1083.47,4136
2025-05-28 01:00:00,1083.9,1085.93,1079.68,1080.77,5656
2025-05-28 05:00:00,1080.77,1084.06,1075.86,1080.1,6665
2025-05-28 09:00:00,1079.55,1094.13,1076.2,1092.97,5149
2025-05-28 13:00:00,1092.74,1095.29,1080.92,1084.47,8066
2025-05-28 17:00:00,1084.47,1087.56,1077.7,1082.39,7538
2025-05-28 21:00:00,1082.53,1084.66,1078.99,1079.79,3529
2025-05-29 01:00:00,1080.26,1081.59,1069.41,1077.42,6319
2025-05-29 05:00:00,1077.43,1080.31,1073.72,1077.47,7214
2025-05-29 09:00:00,1077.48,1081.78,1070.97,1081.07,5940
2025-05-29 13:00:00,1081.0,1093.18,1078.24,1085.18,8711
2025-05-29 17:00:00,1085.19,1089.06,1078.2,1079.84,7746
2025-05-29 21:00:00,1079.85,1085.57,1079.44,1085.24,3444
2025-05-30 01:00:00,1087.08,1087.08,1080.67,1081.35,5450
2025-05-30 05:00:00,1081.31,1083.06,1072.36,1076.05,7328
2025-05-30 09:00:00,1076.04,1079.4,1068.58,1073.56,6185
2025-05-30 13:00:00,1073.48,1077.26,1060.7,1062.35,8639
2025-05-30 17:00:00,1062.34,1064.39,1052.08,1055.39,7555
2025-05-30 21:00:00,1055.39,1059.59,1055.05,1055.93,4019
2025-06-02 01:00:00,1060.86,1062.55,1048.3,1050.3,3593
2025-06-02 05:00:00,1050.17,1054.85,1047.47,1054.14,6693
2025-06-02 09:00:00,1053.87,1059.38,1045.93,1046.66,6513
2025-06-02 13:00:00,1046.76,1065.67,1042.36,1065.59,8226
2025-06-02 17:00:00,1065.58,1071.56,1056.6,1063.42,7917
2025-06-02 21:00:00,1063.41,1067.0,1062.31,1064.75,4628
2025-06-03 01:00:00,1065.05,1068.92,1060.53,1063.3,7262
2025-06-03 05:00:00,1063.31,1067.36,1061.45,1066.24,6855
2025-06-03 09:00:00,1066.25,1068.06,1054.84,1055.0,6749
2025-06-03 13:00:00,1055.0,1061.95,1053.35,1057.25,8142
2025-06-03 17:00:00,1057.44,1077.04,1055.5,1077.04,7995
2025-06-03 21:00:00,1076.99,1079.3,1075.12,1077.32,3954
2025-06-04 01:00:00,1077.2,1083.08,1072.84,1082.38,5782
2025-06-04 05:00:00,1082.12,1084.24,1079.45,1080.0,7247
2025-06-04 09:00:00,1079.78,1092.53,1077.64,1085.08,6856
2025-06-04 13:00:00,1085.09,1088.76,1077.08,1084.32,8228
2025-06-04 17:00:00,1084.16,1094.92,1082.79,1093.4,7651
2025-06-04 21:00:00,1093.41,1095.02,1089.61,1091.26,3874
2025-06-05 01:00:00,1087.88,1096.11,1087.88,1094.63,5464
2025-06-05 05:00:00,1094.58,1098.16,1091.61,1092.87,6599
2025-06-05 09:00:00,1092.87,1127.85,1088.87,1120.63,6756
2025-06-05 13:00:00,1120.09,1144.93,1117.76,1139.46,8997
2025-06-05 17:00:00,1139.42,1142.46,1129.17,1138.14,7996
2025-06-05 21:00:00,1138.1,1141.25,1135.52,1137.01,4237
2025-06-06 01:00:00,1136.82,1151.56,1131.42,1149.45,6237
2025-06-06 05:00:00,1149.45,1156.84,1146.47,1152.15,7366
2025-06-06 09:00:00,1151.7,1171.59,1151.7,1166.51,7425
2025-06-06 13:00:00,1166.51,1173.7,1155.47,1170.02,8049
2025-06-06 17:00:00,1170.08,1172.7,1158.92,1163.6,8496
2025-06-06 21:00:00,1163.65,1168.7,1160.13,1167.01,4060
2025-06-09 01:00:00,1168.06,1171.33,1159.7,1166.31,7259
2025-06-09 05:00:00,1166.31,1194.55,1163.65,1194.07,7592
2025-06-09 09:00:00,1194.14,1218.62,1191.56,1200.75,7544
2025-06-09 13:00:00,1200.76,1209.04,1188.15,1206.25,8718
2025-06-09 17:00:00,1206.21,1219.39,1204.64,1213.03,7471
2025-06-09 21:00:00,1213.02,1220.69,1212.57,1215.99,3780
2025-06-10 01:00:00,1215.65,1223.0,1201.33,1205.42,6811
2025-06-10 05:00:00,1205.4,1225.61,1202.65,1215.5,7910
2025-06-10 09:00:00,1215.0,1217.37,1201.59,1211.09,7117
2025-06-10 13:00:00,1211.1,1224.48,1204.62,1219.4,8589
2025-06-10 17:00:00,1219.28,1223.07,1209.75,1215.19,8039
2025-06-10 21:00:00,1215.19,1220.27,1212.19,1216.68,4518
2025-06-11 01:00:00,1215.46,1220.81,1214.69,1218.69,6532
2025-06-11 05:00:00,1218.71,1243.06,1217.51,1243.06,6988
2025-06-11 09:00:00,1243.03,1272.41,1241.0,1261.54,6980
2025-06-11 13:00:00,1261.55,1281.62,1246.05,1278.48,9289
2025-06-11 17:00:00,1278.49,1285.0,1254.93,1257.28,8640
2025-06-11 21:00:00,1257.34,1261.64,1250.77,1259.73,4556
2025-06-12 01:00:00,1258.66,1270.88,1258.44,1264.63,7215
2025-06-12 05:00:00,1264.62,1277.25,1264.03,1273.02,6889
